skill_rating,assists.defensiveAssists,assists.healingDone,assists.offensiveAssists,average.allDamageDoneAvgPer10Min,average.barrierDamageDoneAvgPer10Min,average.deathsAvgPer10Min,average.eliminationsAvgPer10Min,average.finalBlowsAvgPer10Min,average.healingDoneAvgPer10Min,average.heroDamageDoneAvgPer10Min,average.objectiveKillsAvgPer10Min,average.objectiveTimeAvgPer10Min,average.soloKillsAvgPer10Min,average.timeSpentOnFireAvgPer10Min,best.allDamageDoneMostInGame,best.barrierDamageDoneMostInGame,best.defensiveAssistsMostInGame,best.eliminationsMostInGame,best.environmentalKillsMostInGame,best.finalBlowsMostInGame,best.healingDoneMostInGame,best.heroDamageDoneMostInGame,best.killsStreakBest,best.meleeFinalBlowsMostInGame,best.multikillsBest,best.objectiveKillsMostInGame,best.objectiveTimeMostInGame,best.offensiveAssistsMostInGame,best.soloKillsMostInGame,best.teleporterPadsDestroyedMostInGame,best.timeSpentOnFireMostInGame,best.turretsDestroyedMostInGame,combat.barrierDamageDone,combat.damageDone,combat.deaths,combat.eliminations,combat.environmentalKills,combat.finalBlows,combat.heroDamageDone,combat.meleeFinalBlows,combat.multikills,combat.objectiveKills,combat.objectiveTime,combat.soloKills,combat.timeSpentOnFire,game.gamesLost,game.gamesPlayed,game.gamesTied,game.gamesWon,game.timePlayed,matchAwards.cards,matchAwards.medals,matchAwards.medalsBronze,matchAwards.medalsGold,matchAwards.medalsSilver,miscellaneous.teleporterPadsDestroyed,miscellaneous.turretsDestroyed,assists.reconAssists,best.reconAssistsMostInGame,top_hero,games_played,rank,top_hero_type
2897,95,63717,33,8841,2806,9.12,15.25,8.65,1766,5903,5.38,44,2.27,43,25671,12247,21,42,1,30,9035,14355,42,1,4,16,172,9,30,0,286,1,101219,212938,329,550,1,312,212938,3,11,194,1572,82,1542,19,34,0,15,21642,6,65,21,16,28,0,4,2,2,mccree,34,13927,damage
2892,66,44693,48,13863,4797,8.94,17.94,9.11,1530,8715,6.85,69,1.4,68,29787,13221,23,39,1,24,8949,21942,39,1,4,19,198,10,24,0,336,5,140114,254550,261,524,1,266,254550,2,7,200,2002,41,1988,13,25,2,10,17524,8,69,24,24,21,0,19,4,4,reinhardt,34,14092,tank
1895,289,113288,73,3906,1364,7.56,9.63,3.19,5565,2446,5.4,77,0.2,44,7216,3907,35,21,0,10,15323,5088,21,1,0,13,164,19,10,1,263,1,27763,49792,154,196,0,65,49792,1,0,110,1558,4,906,8,18,0,10,12215,12,25,4,6,15,1,3,0,0,baptiste,18,44935,support
2028,136,443618,839,10036,3188,5.84,17.94,7.99,2598,6653,8.67,97,1.05,50,32466,15274,23,55,6,32,11106,18858,55,2,4,34,424,24,32,1,410,9,544383,1136048,997,3063,70,1365,1136048,18,24,1480,16623,180,8588,74,150,2,74,102454,52,491,231,87,173,2,80,0,0,roadhog,41,42493,tank
2334,183,119248,88,8692,2499,7.98,17.29,9.31,803,5976,6.32,51,2.58,34,55408,35919,40,48,2,28,20647,18277,48,1,4,25,416,15,28,4,394,7,371162,887464,1185,2568,5,1383,887464,6,13,938,7552,383,5018,64,129,4,61,89097,39,251,82,77,92,5,81,13,7,widowmaker,349,34277,damage
1918,15,0,20,8154,2307,7.84,16.59,8.75,0,5630,7.23,66,1.73,35,19169,7148,10,40,0,15,0,11942,40,3,3,20,227,7,15,0,148,2,22672,55322,77,163,0,86,55322,5,2,71,644,17,346,6,11,1,4,5896,3,15,9,2,4,0,2,0,0,reinhardt,24,44584,tank
2281,34,8832,36,11604,5475,7.51,18.06,5.36,152,5792,9.04,173,0.65,41,31028,16938,25,42,2,16,5782,15642,42,0,4,31,546,12,16,2,441,3,318659,337080,437,1051,3,312,337080,0,9,526,10065,38,2362,17,46,3,26,34921,16,130,41,62,27,2,19,0,0,dVa,40,36001,tank
2853,299,179914,596,9809,3381,8.4,17.35,6.11,1715,6003,7.72,82,0.95,65,30030,13909,36,52,2,22,15377,20814,52,3,5,25,404,25,22,1,622,13,354575,629672,881,1820,5,641,629672,24,33,810,8651,100,6780,44,86,1,41,62931,15,211,84,54,73,2,113,7,6,genji,175,15161,damage
1932,78,48913,67,8171,2460,8.58,12.82,4.15,4510,5509,8.02,101,0.65,74,17212,6601,20,36,2,11,12912,10788,36,1,4,21,215,21,11,2,395,7,26678,59742,93,139,2,45,59742,1,2,87,1097,7,806,7,10,0,3,6507,5,26,8,13,5,2,8,0,0,orisa,51,44369,tank
2720,26,0,16,13174,3633,6.47,31.6,11.42,0,9311,16.37,127,0.76,197,19876,6122,13,44,0,15,0,13504,44,0,3,26,203,10,15,0,340,0,9544,24460,17,83,0,30,24460,0,1,43,334,2,518,1,2,0,1,1576,3,7,1,5,1,0,0,0,0,zarya,90,19545,tank
2844,31,12748,28,8923,2234,8.08,18.26,7.58,525,6365,7.79,81,1.98,27,21138,8727,8,37,1,21,3501,15385,37,2,3,25,224,6,21,1,196,11,54202,154444,196,443,1,184,154444,11,3,189,1963,48,664,10,19,1,8,14558,7,50,16,15,19,1,24,6,4,genji,126,15443,damage
2455,674,350752,442,1019,260,6.47,2.85,0.88,7510,719,1.43,48,0.06,7,16858,8136,37,34,0,13,19020,8219,34,0,3,22,291,28,13,0,155,12,12150,33567,302,133,0,41,33567,0,1,67,2242,3,322,22,42,2,18,28023,26,60,14,36,10,0,18,0,0,mercy,220,30102,support
3193,132,72059,127,10062,3355,6.53,18.28,7.18,1960,6389,7.62,72,1.52,50,39708,12587,25,51,1,27,12639,26068,51,2,5,21,283,27,27,1,422,5,123317,234880,240,672,2,264,234880,8,6,280,2638,56,1851,14,30,0,16,22057,3,62,27,20,15,1,16,6,4,pharah,130,6580,damage
2078,15,10523,13,8581,2535,8.88,19.99,7.77,5842,5559,14.44,229,1.11,156,15456,4566,15,36,4,14,10523,10012,36,0,0,26,412,13,14,0,281,4,4566,10012,16,36,4,14,10012,0,0,26,412,2,281,1,1,0,0,1081,1,5,2,3,0,0,4,0,0,lucio,105,41361,support
